INSTRUMENT,SYMBOL,EXPIRY_DT,EXPIRY_DT_FINAL,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP
OPTSTK,GAIL,27-Mar-2025,2025-03-27,190.00,PE,0.00,0.00,0.00,11.55,11.15,0,0.00,0,0,01-JAN-2025
OPTSTK,GAIL,27-Mar-2025,2025-03-27,180.00,PE,0.00,0.00,0.00,7.75,6.95,0,0.00,0,0,01-JAN-2025
OPTSTK,GAIL,27-Feb-2025,2025-02-27,180.00,PE,4.80,4.80,3.70,3.75,5.20,3,12.977875,18800,2350,01-JAN-2025
OPTSTK,GAIL,27-Feb-2025,2025-02-27,180.00,CE,0.00,0.00,0.00,28.35,18.20,0,0.00,0,0,01-JAN-2025
OPTSTK,GAIL,30-Jan-2025,2025-01-30,175.00,CE,18.05,18.40,17.55,18.40,18.80,11,49.894025,51700,4700,01-JAN-2025
OPTSTK,GAIL,27-Feb-2025,2025-02-27,210.00,PE,0.00,0.00,0.00,21.00,21.55,0,0.00,2350,0,01-JAN-2025
OPTSTK,GAIL,30-Jan-2025,2025-01-30,210.00,CE,1.25,1.25,1.00,1.20,1.20,509,2525.49917,4110150,63450,01-JAN-2025
OPTSTK,GAIL,30-Jan-2025,2025-01-30,215.00,CE,0.75,0.80,0.65,0.75,0.75,143,724.94445,1153850,-47000,01-JAN-2025
OPTSTK,GAIL,27-Feb-2025,2025-02-27,172.50,CE,0.00,0.00,0.00,31.05,23.50,0,0.00,0,0,01-JAN-2025
OPTSTK,GAIL,30-Jan-2025,2025-01-30,172.50,CE,19.90,20.35,19.90,20.20,20.85,7,31.690925,18800,11750,01-JAN-2025
OPTSTK,GAIL,30-Jan-2025,2025-01-30,180.00,CE,14.25,14.65,12.85,14.65,14.65,37,168.64775,180950,2350,01-JAN-2025
OPTSTK,GAIL,27-Feb-2025,2025-02-27,220.00,PE,0.00,0.00,0.00,28.00,29.40,0,0.00,2350,0,01-JAN-2025
OPTSTK,GAIL,27-Feb-2025,2025-02-27,220.00,CE,1.50,2.10,1.50,2.10,2.10,11,57.317675,44650,0,01-JAN-2025
OPTSTK,GAIL,30-Jan-2025,2025-01-30,220.00,PE,27.50,27.50,27.50,27.50,28.60,1,5.81625,1252550,2350,01-JAN-2025
OPTSTK,GAIL,30-Jan-2025,2025-01-30,240.00,CE,0.15,0.15,0.10,0.15,0.10,3,16.9294,580450,-2350,01-JAN-2025
OPTSTK,GAIL,30-Jan-2025,2025-01-30,245.00,CE,0.00,0.00,0.00,0.15,0.05,0,0.00,7050,0,01-JAN-2025
OPTSTK,GAIL,27-Feb-2025,2025-02-27,200.00,CE,6.00,6.00,5.25,5.50,7.95,4,19.317,49350,7050,01-JAN-2025
OPTSTK,GAIL,27-Feb-2025,2025-02-27,200.00,PE,12.60,12.60,12.60,12.60,14.75,1,4.9961,2350,2350,01-JAN-2025
OPTSTK,GAIL,27-Mar-2025,2025-03-27,200.00,CE,0.00,0.00,0.00,17.55,10.70,0,0.00,0,0,01-JAN-2025
OPTSTK,GAIL,30-Jan-2025,2025-01-30,207.50,PE,17.45,17.45,16.45,16.45,17.90,9,47.4277,293750,7050,01-JAN-2025
OPTSTK,GAIL,30-Jan-2025,2025-01-30,197.50,CE,4.00,4.15,3.35,4.05,4.05,247,1168.56217,907100,-16450,01-JAN-2025
OPTSTK,GAIL,27-Mar-2025,2025-03-27,210.00,CE,0.00,0.00,0.00,13.40,7.30,0,0.00,0,0,01-JAN-2025
OPTSTK,GAIL,27-Mar-2025,2025-03-27,210.00,PE,0.00,0.00,0.00,21.95,22.95,0,0.00,0,0,01-JAN-2025
OPTSTK,GAIL,27-Feb-2025,2025-02-27,177.50,CE,0.00,0.00,0.00,27.40,19.90,0,0.00,0,0,01-JAN-2025
OPTSTK,GAIL,30-Jan-2025,2025-01-30,195.00,PE,8.00,9.00,7.45,7.60,7.60,146,697.589275,2295950,-124550,01-JAN-2025
OPTSTK,GAIL,30-Jan-2025,2025-01-30,232.50,CE,0.00,0.00,0.00,0.15,0.25,0,0.00,2350,0,01-JAN-2025
OPTSTK,GAIL,27-Mar-2025,2025-03-27,215.00,CE,0.00,0.00,0.00,11.60,6.00,0,0.00,0,0,01-JAN-2025
OPTSTK,GAIL,30-Jan-2025,2025-01-30,215.00,PE,23.10,23.10,23.05,23.05,24.15,2,11.189525,401850,2350,01-JAN-2025
OPTSTK,GAIL,27-Feb-2025,2025-02-27,192.50,CE,0.00,0.00,0.00,17.95,11.10,0,0.00,0,0,01-JAN-2025
OPTSTK,GAIL,30-Jan-2025,2025-01-30,192.50,PE,6.40,7.60,6.15,6.35,6.35,154,720.75205,587500,103400,01-JAN-2025
OPTSTK,GAIL,27-Feb-2025,2025-02-27,192.50,PE,0.00,0.00,0.00,10.40,10.50,0,0.00,0,0,01-JAN-2025
OPTSTK,GAIL,30-Jan-2025,2025-01-30,187.50,CE,8.75,9.10,7.80,9.05,10.15,43,198.073275,131600,0,01-JAN-2025
OPTSTK,LICHSGFIN,27-Feb-2025,2025-02-27,680.00,CE,0.00,0.00,0.00,38.10,8.70,0,0.00,0,0,01-JAN-2025
OPTSTK,LICHSGFIN,27-Feb-2025,2025-02-27,650.00,CE,0.00,0.00,0.00,19.20,15.30,0,0.00,0,0,01-JAN-2025
OPTSTK,LICHSGFIN,27-Feb-2025,2025-02-27,630.00,PE,0.00,0.00,0.00,59.05,44.70,0,0.00,0,0,01-JAN-2025
OPTSTK,LICHSGFIN,30-Jan-2025,2025-01-30,630.00,CE,5.80,7.50,5.45,6.15,6.15,260,1654.529,282000,16000,01-JAN-2025
OPTSTK,LICHSGFIN,27-Feb-2025,2025-02-27,630.00,CE,0.00,0.00,0.00,25.15,21.60,0,0.00,0,0,01-JAN-2025
OPTSTK,LICHSGFIN,27-Feb-2025,2025-02-27,590.00,PE,0.00,0.00,0.00,16.00,23.25,0,0.00,1000,0,01-JAN-2025
OPTSTK,LICHSGFIN,30-Jan-2025,2025-01-30,680.00,CE,0.90,1.00,0.80,0.85,0.85,65,442.581,161000,22000,01-JAN-2025
OPTSTK,LICHSGFIN,27-Mar-2025,2025-03-27,600.00,CE,0.00,0.00,0.00,30.00,42.85,0,0.00,2000,0,01-JAN-2025
OPTSTK,LICHSGFIN,27-Feb-2025,2025-02-27,620.00,PE,0.00,0.00,0.00,38.70,38.60,0,0.00,0,0,01-JAN-2025
OPTSTK,LICHSGFIN,27-Mar-2025,2025-03-27,560.00,PE,0.00,0.00,0.00,28.40,17.15,0,0.00,0,0,01-JAN-2025
OPTSTK,LICHSGFIN,27-Feb-2025,2025-02-27,560.00,PE,0.00,0.00,0.00,17.20,12.40,0,0.00,0,0,01-JAN-2025
OPTSTK,LICHSGFIN,30-Jan-2025,2025-01-30,580.00,PE,8.60,9.10,6.85,7.45,7.45,235,1381.1935,465000,19000,01-JAN-2025
OPTSTK,LICHSGFIN,27-Feb-2025,2025-02-27,580.00,PE,0.00,0.00,0.00,23.10,19.15,0,0.00,0,0,01-JAN-2025
FUTSTK,LICHSGFIN,30-Jan-2025,2025-01-30,,,599.40,606.35,598.55,603.20,603.20,1441,8689.9925,25186000,-133000,01-JAN-2025
OPTSTK,LICHSGFIN,30-Jan-2025,2025-01-30,640.00,PE,40.00,41.70,40.00,40.95,40.95,11,74.8655,47000,0,01-JAN-2025
FUTSTK,LICHSGFIN,27-Feb-2025,2025-02-27,,,602.75,609.25,602.75,607.10,607.10,35,212.4135,569000,-2000,01-JAN-2025
FUTSTK,LICHSGFIN,27-Mar-2025,2025-03-27,,,609.00,610.25,609.00,610.00,609.80,4,24.3925,9000,3000,01-JAN-2025
OPTSTK,LICHSGFIN,30-Jan-2025,2025-01-30,720.00,PE,116.25,116.25,116.25,116.25,116.55,3,25.0875,52000,0,01-JAN-2025
