INSTRUMENT,SYMBOL,EXPIRY_DT,EXPIRY_DT_FINAL,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP
OPTSTK,DEEPAKNTR,28-Nov-2024,2024-11-28,3200.00,CE,2.50,3.35,2.30,3.10,1.10,88,845.5446,10500,-600,05-NOV-2024
OPTSTK,CHOLAFIN,26-Dec-2024,2024-12-26,1260.00,PE,0.00,0.00,0.00,63.20,44.95,0,0.00,0,0,05-NOV-2024
OPTSTK,DEEPAKNTR,28-Nov-2024,2024-11-28,2800.00,CE,42.35,50.55,33.45,48.60,48.60,951,8114.0952,160200,4500,05-NOV-2024
OPTSTK,CHOLAFIN,26-Dec-2024,2024-12-26,1200.00,CE,0.00,0.00,0.00,467.65,118.00,0,0.00,0,0,05-NOV-2024
OPTSTK,CHOLAFIN,28-Nov-2024,2024-11-28,1640.00,PE,0.00,0.00,0.00,362.00,350.10,0,0.00,625,0,05-NOV-2024
OPTSTK,DEEPAKNTR,28-Nov-2024,2024-11-28,2950.00,PE,320.80,320.80,307.80,307.80,256.20,2,19.5858,600,300,05-NOV-2024
OPTSTK,DEEPAKNTR,26-Dec-2024,2024-12-26,2950.00,PE,0.00,0.00,0.00,336.25,271.55,0,0.00,0,0,05-NOV-2024
OPTSTK,DEEPAKNTR,26-Dec-2024,2024-12-26,2850.00,CE,0.00,0.00,0.00,80.30,70.95,0,0.00,0,0,05-NOV-2024
OPTSTK,DEEPAKNTR,28-Nov-2024,2024-11-28,2850.00,CE,30.00,36.45,24.00,34.80,34.80,85,734.52045,17700,7800,05-NOV-2024
OPTSTK,CHOLAFIN,30-Jan-2025,2025-01-30,1080.00,PE,0.00,0.00,0.00,20.60,10.20,0,0.00,0,0,05-NOV-2024
OPTSTK,CHOLAFIN,28-Nov-2024,2024-11-28,1080.00,CE,0.00,0.00,0.00,400.20,208.05,0,0.00,0,0,05-NOV-2024
OPTSTK,DEEPAKNTR,28-Nov-2024,2024-11-28,3100.00,PE,400.00,400.00,400.00,400.00,400.00,60,630,21300,-300,05-NOV-2024
OPTSTK,DEEPAKNTR,30-Jan-2025,2025-01-30,2700.00,PE,0.00,0.00,0.00,198.65,138.90,0,0.00,0,0,05-NOV-2024
OPTSTK,CHOLAFIN,30-Jan-2025,2025-01-30,1160.00,CE,0.00,0.00,0.00,174.20,166.30,0,0.00,0,0,05-NOV-2024
OPTSTK,CHOLAFIN,28-Nov-2024,2024-11-28,1160.00,CE,101.40,101.40,101.40,101.40,132.45,2,15.7675,1250,1250,05-NOV-2024
OPTSTK,CHOLAFIN,26-Dec-2024,2024-12-26,1160.00,PE,0.00,0.00,0.00,2.65,14.30,0,0.00,0,0,05-NOV-2024
