INSTRUMENT,SYMBOL,EXPIRY_DT,EXPIRY_DT_FINAL,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP
OPTSTK,ABFRL,25-Jul-2024,2024-07-25,250.00,PE,0.00,0.00,0.00,0.15,0.10,0,0.00,26000,0,08-JUL-2024
OPTSTK,ABFRL,25-Jul-2024,2024-07-25,322.50,CE,0.00,0.00,0.00,17.40,13.60,0,0.00,351000,0,08-JUL-2024
OPTSTK,ABFRL,29-Aug-2024,2024-08-29,260.00,PE,0.00,0.00,0.00,2.00,2.60,0,0.00,2600,0,08-JUL-2024
OPTSTK,ABFRL,25-Jul-2024,2024-07-25,272.50,PE,0.00,0.00,0.00,1.30,0.60,0,0.00,78000,0,08-JUL-2024
OPTSTK,ABFRL,25-Jul-2024,2024-07-25,320.00,PE,2.80,4.65,2.70,4.60,4.60,56,471.2877,1760200,-72800,08-JUL-2024
OPTSTK,ABFRL,25-Jul-2024,2024-07-25,312.50,PE,0.00,0.00,0.00,1.95,8.30,0,0.00,228800,0,08-JUL-2024
OPTSTK,ABFRL,29-Aug-2024,2024-08-29,320.00,PE,0.00,0.00,0.00,10.00,20.15,0,0.00,26000,0,08-JUL-2024
OPTSTK,ABFRL,29-Aug-2024,2024-08-29,320.00,CE,0.00,0.00,0.00,16.70,25.70,0,0.00,0,0,08-JUL-2024
OPTSTK,ABFRL,25-Jul-2024,2024-07-25,295.00,PE,0.00,0.00,0.00,0.55,3.20,0,0.00,819000,0,08-JUL-2024
OPTSTK,ABFRL,25-Jul-2024,2024-07-25,357.50,CE,0.00,0.00,0.00,3.55,3.00,0,0.00,109200,0,08-JUL-2024
OPTSTK,ABFRL,29-Aug-2024,2024-08-29,290.00,PE,0.00,0.00,0.00,2.30,8.55,0,0.00,26000,0,08-JUL-2024
OPTSTK,ABFRL,29-Aug-2024,2024-08-29,305.00,CE,0.00,0.00,0.00,22.15,33.95,0,0.00,0,0,08-JUL-2024
OPTSTK,ABFRL,26-Sep-2024,2024-09-26,290.00,PE,0.00,0.00,0.00,14.90,12.35,0,0.00,0,0,08-JUL-2024
OPTSTK,ABFRL,29-Aug-2024,2024-08-29,305.00,PE,0.00,0.00,0.00,29.00,13.55,0,0.00,0,0,08-JUL-2024
OPTSTK,ABFRL,25-Jul-2024,2024-07-25,317.50,CE,0.00,0.00,0.00,20.85,16.15,0,0.00,96200,0,08-JUL-2024
OPTSTK,ABFRL,25-Jul-2024,2024-07-25,317.50,PE,0.00,0.00,0.00,2.70,10.35,0,0.00,158600,0,08-JUL-2024
OPTSTK,ABFRL,25-Jul-2024,2024-07-25,295.00,CE,0.00,0.00,0.00,13.35,31.45,0,0.00,0,0,08-JUL-2024
OPTSTK,ABFRL,26-Sep-2024,2024-09-26,320.00,CE,0.00,0.00,0.00,32.25,32.00,0,0.00,0,0,08-JUL-2024
OPTSTK,ABFRL,26-Sep-2024,2024-09-26,320.00,PE,0.00,0.00,0.00,28.00,24.70,0,0.00,0,0,08-JUL-2024
OPTSTK,ABFRL,25-Jul-2024,2024-07-25,362.50,PE,0.00,0.00,0.00,47.00,41.40,0,0.00,2600,0,08-JUL-2024
OPTSTK,ABFRL,29-Aug-2024,2024-08-29,260.00,CE,0.00,0.00,0.00,46.75,67.55,0,0.00,0,0,08-JUL-2024
OPTSTK,ABFRL,25-Jul-2024,2024-07-25,325.00,PE,4.70,6.70,4.30,6.40,6.40,26,223.5415,390000,-31200,08-JUL-2024
