INSTRUMENT,SYMBOL,EXPIRY_DT,EXPIRY_DT_FINAL,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP
OPTSTK,UNITDSPR,28-Nov-2024,2024-11-28,1280.00,PE,0.00,0.00,0.00,19.05,1.15,0,0.00,0,0,11-OCT-2024
OPTSTK,UNITDSPR,28-Nov-2024,2024-11-28,1760.00,CE,0.00,0.00,0.00,14.35,4.30,0,0.00,0,0,11-OCT-2024
OPTSTK,UNITDSPR,31-Oct-2024,2024-10-31,1480.00,PE,23.00,30.40,18.15,18.75,18.75,179,1882.6479,74900,-4200,11-OCT-2024
OPTSTK,UNITDSPR,26-Dec-2024,2024-12-26,1480.00,PE,0.00,0.00,0.00,26.80,42.45,0,0.00,0,0,11-OCT-2024
OPTSTK,UNITDSPR,28-Nov-2024,2024-11-28,1400.00,PE,15.00,17.00,13.45,14.45,14.45,10,99.05665,13300,5600,11-OCT-2024
OPTSTK,UNITDSPR,31-Oct-2024,2024-10-31,1400.00,PE,5.30,8.25,4.45,4.65,4.65,322,3167.98755,196700,-2100,11-OCT-2024
OPTSTK,UNITDSPR,31-Oct-2024,2024-10-31,1460.00,PE,16.95,20.95,13.05,13.60,13.60,149,1539.09,109900,-5600,11-OCT-2024
OPTSTK,UNITDSPR,31-Oct-2024,2024-10-31,1460.00,CE,61.65,76.35,61.65,76.35,76.35,4,42.85645,4200,700,11-OCT-2024
OPTSTK,UNITDSPR,28-Nov-2024,2024-11-28,1460.00,PE,0.00,0.00,0.00,14.50,25.45,0,0.00,0,0,11-OCT-2024
OPTSTK,UNITDSPR,31-Oct-2024,2024-10-31,1800.00,PE,0.00,0.00,0.00,166.65,273.90,0,0.00,0,0,11-OCT-2024
OPTSTK,UNITDSPR,31-Oct-2024,2024-10-31,1420.00,CE,0.00,0.00,0.00,97.15,109.55,0,0.00,0,0,11-OCT-2024
OPTSTK,UNITDSPR,28-Nov-2024,2024-11-28,1420.00,PE,0.00,0.00,0.00,20.00,15.05,0,0.00,2100,0,11-OCT-2024
OPTSTK,UNITDSPR,28-Nov-2024,2024-11-28,1740.00,PE,0.00,0.00,0.00,125.65,210.70,0,0.00,0,0,11-OCT-2024
OPTSTK,UNITDSPR,28-Nov-2024,2024-11-28,1580.00,PE,0.00,0.00,0.00,44.60,82.55,0,0.00,0,0,11-OCT-2024
OPTSTK,UNITDSPR,31-Oct-2024,2024-10-31,1680.00,CE,3.95,4.70,3.00,4.15,4.15,78,919.35375,64400,700,11-OCT-2024
OPTSTK,UNITDSPR,28-Nov-2024,2024-11-28,1640.00,PE,0.00,0.00,0.00,194.70,125.25,0,0.00,0,0,11-OCT-2024
