INSTRUMENT,SYMBOL,EXPIRY_DT,EXPIRY_DT_FINAL,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP
OPTSTK,IDEA,24-Apr-2025,2025-04-24,11.00,PE,0.00,0.00,0.00,3.25,3.85,0,0.00,0,0,12-MAR-2025
OPTSTK,IDEA,29-May-2025,2025-05-29,10.00,PE,0.00,0.00,0.00,2.45,2.90,0,0.00,40000,0,12-MAR-2025
OPTSTK,IDEA,24-Apr-2025,2025-04-24,6.00,CE,0.00,0.00,0.00,3.25,1.25,0,0.00,0,0,12-MAR-2025
OPTSTK,IDEA,24-Apr-2025,2025-04-24,12.00,CE,0.05,0.05,0.05,0.05,0.05,49,236.18,4080000,440000,12-MAR-2025
OPTSTK,IDEA,24-Apr-2025,2025-04-24,4.00,PE,0.05,0.05,0.05,0.05,0.05,2,3.24,320000,80000,12-MAR-2025
OPTSTK,IDEA,27-Mar-2025,2025-03-27,5.00,PE,0.05,0.05,0.05,0.05,0.05,11,22.22,7160000,440000,12-MAR-2025
OPTSTK,IDEA,27-Mar-2025,2025-03-27,9.00,PE,1.85,2.10,1.85,1.90,1.90,248,1090.9,61360000,-2760000,12-MAR-2025
OPTSTK,IDEA,29-May-2025,2025-05-29,12.00,CE,0.10,0.15,0.10,0.15,0.05,14,67.96,2280000,-320000,12-MAR-2025
OPTSTK,IDEA,29-May-2025,2025-05-29,2.00,PE,0.00,0.00,0.00,0.05,0.05,0,0.00,0,0,12-MAR-2025
OPTSTK,IDEA,24-Apr-2025,2025-04-24,16.00,CE,0.00,0.00,0.00,0.05,0.05,0,0.00,120000,0,12-MAR-2025
OPTSTK,IDEA,24-Apr-2025,2025-04-24,8.00,PE,0.95,1.35,0.95,1.15,1.15,43,157.6,14480000,320000,12-MAR-2025
OPTSTK,IDEA,27-Mar-2025,2025-03-27,12.00,PE,0.00,0.00,0.00,4.25,4.90,0,0.00,6520000,0,12-MAR-2025
OPTSTK,IDEA,29-May-2025,2025-05-29,8.00,CE,0.55,0.55,0.45,0.50,0.50,57,193.72,3880000,1440000,12-MAR-2025
OPTSTK,IDEA,24-Apr-2025,2025-04-24,8.00,CE,0.35,0.40,0.25,0.30,0.30,1294,4295.38,19840000,4880000,12-MAR-2025
OPTSTK,IDEA,24-Apr-2025,2025-04-24,9.00,PE,0.00,0.00,0.00,1.70,1.95,0,0.00,880000,0,12-MAR-2025
OPTSTK,IDEA,29-May-2025,2025-05-29,6.00,PE,0.25,0.35,0.20,0.30,0.25,58,146.26,3720000,720000,12-MAR-2025
OPTSTK,IDEA,24-Apr-2025,2025-04-24,6.00,PE,0.15,0.25,0.15,0.20,0.20,643,1597.48,15600000,4200000,12-MAR-2025
OPTSTK,IDEA,29-May-2025,2025-05-29,4.00,CE,0.00,0.00,0.00,3.90,3.15,0,0.00,0,0,12-MAR-2025
OPTSTK,IDEA,27-Mar-2025,2025-03-27,11.00,CE,0.00,0.00,0.00,0.05,0.05,0,0.00,33640000,0,12-MAR-2025
OPTSTK,IDEA,27-Mar-2025,2025-03-27,13.00,PE,0.00,0.00,0.00,5.50,5.90,0,0.00,4160000,0,12-MAR-2025
OPTSTK,IDEA,29-May-2025,2025-05-29,6.00,CE,0.00,0.00,0.00,1.40,1.40,0,0.00,640000,0,12-MAR-2025
OPTSTK,IDEA,27-Mar-2025,2025-03-27,8.00,PE,0.75,1.20,0.75,1.00,1.00,1528,5519.4,85880000,-8760000,12-MAR-2025
OPTSTK,IDEA,24-Apr-2025,2025-04-24,11.00,CE,0.05,0.05,0.05,0.05,0.05,1,4.42,560000,-40000,12-MAR-2025
FUTSTK,IDEA,27-Mar-2025,2025-03-27,,,7.37,7.39,6.86,7.09,7.09,11930,33627.6,3106320000,-64280000,12-MAR-2025
OPTSTK,IDEA,24-Apr-2025,2025-04-24,5.00,PE,0.05,0.10,0.05,0.05,0.05,75,151.52,1360000,1280000,12-MAR-2025
OPTSTK,IDEA,27-Mar-2025,2025-03-27,6.00,PE,0.05,0.10,0.05,0.05,0.05,1320,3199.4,95920000,20520000,12-MAR-2025
OPTSTK,IDEA,27-Mar-2025,2025-03-27,4.00,PE,0.00,0.00,0.00,0.05,0.05,0,0.00,2280000,0,12-MAR-2025
OPTSTK,IDEA,27-Mar-2025,2025-03-27,9.00,CE,0.05,0.05,0.05,0.05,0.05,120,434.4,245960000,1280000,12-MAR-2025
OPTSTK,IDEA,24-Apr-2025,2025-04-24,10.00,CE,0.10,0.10,0.05,0.10,0.10,219,884.62,25440000,5520000,12-MAR-2025
OPTSTK,IDEA,29-May-2025,2025-05-29,2.00,CE,0.00,0.00,0.00,5.85,5.10,0,0.00,0,0,12-MAR-2025
OPTSTK,IDEA,27-Mar-2025,2025-03-27,10.00,PE,3.05,3.05,2.90,2.90,2.90,72,372.1,33680000,-2720000,12-MAR-2025
OPTSTK,IDEA,27-Mar-2025,2025-03-27,4.00,CE,3.15,3.15,3.00,3.10,3.10,54,152.22,9560000,2160000,12-MAR-2025
OPTSTK,IDEA,24-Apr-2025,2025-04-24,4.00,CE,0.00,0.00,0.00,5.10,3.10,0,0.00,0,0,12-MAR-2025
OPTSTK,IDEA,24-Apr-2025,2025-04-24,14.00,CE,0.05,0.05,0.05,0.05,0.05,12,67.44,4560000,480000,12-MAR-2025
OPTSTK,IDEA,24-Apr-2025,2025-04-24,10.00,PE,3.00,3.00,3.00,3.00,2.90,2,10.4,2680000,80000,12-MAR-2025
OPTSTK,IDEA,27-Mar-2025,2025-03-27,14.00,CE,0.05,0.05,0.05,0.05,0.05,1,5.62,22480000,40000,12-MAR-2025
OPTSTK,IDEA,27-Mar-2025,2025-03-27,5.00,CE,2.00,2.10,2.00,2.10,2.10,84,237.06,6320000,-520000,12-MAR-2025
OPTSTK,IDEA,29-May-2025,2025-05-29,14.00,PE,0.00,0.00,0.00,6.05,6.75,0,0.00,0,0,12-MAR-2025
OPTSTK,IDEA,27-Mar-2025,2025-03-27,7.00,PE,0.20,0.40,0.15,0.25,0.25,4234,12379.58,75840000,5920000,12-MAR-2025
OPTSTK,IDEA,24-Apr-2025,2025-04-24,7.00,PE,0.45,0.65,0.45,0.50,0.50,509,1533.7,10960000,5000000,12-MAR-2025
OPTSTK,IDEA,27-Mar-2025,2025-03-27,2.00,PE,0.00,0.00,0.00,0.05,0.05,0,0.00,1240000,0,12-MAR-2025
OPTSTK,IDEA,27-Mar-2025,2025-03-27,10.00,CE,0.05,0.05,0.05,0.05,0.05,50,201,121160000,360000,12-MAR-2025
OPTSTK,IDEA,27-Mar-2025,2025-03-27,14.00,PE,6.85,6.95,6.85,6.95,6.90,3,25.08,2400000,120000,12-MAR-2025
OPTSTK,IDEA,27-Mar-2025,2025-03-27,11.00,PE,3.90,3.90,3.90,3.90,3.90,65,387.4,16880000,-2600000,12-MAR-2025
