INSTRUMENT,SYMBOL,EXPIRY_DT,EXPIRY_DT_FINAL,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP
OPTSTK,ABFRL,28-Nov-2024,2024-11-28,280.00,CE,0.00,0.00,0.00,50.20,57.80,0,0.00,0,0,12-SEP-2024
OPTSTK,ABFRL,31-Oct-2024,2024-10-31,280.00,CE,0.00,0.00,0.00,61.30,53.25,0,0.00,0,0,12-SEP-2024
OPTSTK,ABFRL,31-Oct-2024,2024-10-31,280.00,PE,0.00,0.00,0.00,10.20,4.15,0,0.00,0,0,12-SEP-2024
OPTSTK,ABFRL,26-Sep-2024,2024-09-26,280.00,PE,0.25,0.25,0.20,0.20,0.40,2,14.5717,262600,-5200,12-SEP-2024
OPTSTK,ABFRL,31-Oct-2024,2024-10-31,360.00,CE,0.00,0.00,0.00,20.75,10.40,0,0.00,0,0,12-SEP-2024
OPTSTK,ABFRL,26-Sep-2024,2024-09-26,345.00,CE,0.00,0.00,0.00,0.50,4.95,0,0.00,132600,0,12-SEP-2024
OPTSTK,ABFRL,28-Nov-2024,2024-11-28,360.00,PE,0.00,0.00,0.00,54.10,44.10,0,0.00,0,0,12-SEP-2024
OPTSTK,ABFRL,31-Oct-2024,2024-10-31,370.00,PE,0.00,0.00,0.00,54.90,48.00,0,0.00,0,0,12-SEP-2024
OPTSTK,ABFRL,26-Sep-2024,2024-09-26,370.00,PE,0.00,0.00,0.00,59.65,43.70,0,0.00,0,0,12-SEP-2024
OPTSTK,ABFRL,31-Oct-2024,2024-10-31,370.00,CE,0.00,0.00,0.00,17.75,8.00,0,0.00,0,0,12-SEP-2024
OPTSTK,ABFRL,31-Oct-2024,2024-10-31,270.00,PE,0.00,0.00,0.00,7.70,2.65,0,0.00,0,0,12-SEP-2024
OPTSTK,ABFRL,31-Oct-2024,2024-10-31,270.00,CE,0.00,0.00,0.00,68.60,61.65,0,0.00,0,0,12-SEP-2024
OPTSTK,ABFRL,31-Oct-2024,2024-10-31,345.00,CE,0.00,0.00,0.00,13.35,15.00,0,0.00,0,0,12-SEP-2024
OPTSTK,ABFRL,26-Sep-2024,2024-09-26,295.00,CE,0.00,0.00,0.00,25.45,33.80,0,0.00,18200,0,12-SEP-2024
OPTSTK,ABFRL,31-Oct-2024,2024-10-31,295.00,PE,0.00,0.00,0.00,13.25,7.50,0,0.00,0,0,12-SEP-2024
OPTSTK,ABFRL,31-Oct-2024,2024-10-31,295.00,CE,0.00,0.00,0.00,35.60,41.80,0,0.00,0,0,12-SEP-2024
OPTSTK,ABFRL,26-Sep-2024,2024-09-26,370.00,CE,0.50,0.50,0.50,0.50,1.15,1,9.633,907400,-2600,12-SEP-2024
OPTSTK,ABFRL,31-Oct-2024,2024-10-31,285.00,CE,0.00,0.00,0.00,42.05,49.30,0,0.00,0,0,12-SEP-2024
OPTSTK,ABFRL,28-Nov-2024,2024-11-28,340.00,PE,0.00,0.00,0.00,40.40,31.45,0,0.00,0,0,12-SEP-2024
