INSTRUMENT,SYMBOL,EXPIRY_DT,EXPIRY_DT_FINAL,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP
OPTSTK,UNITDSPR,26-Dec-2024,2024-12-26,1800.00,CE,0.00,0.00,0.00,52.15,0.05,0,0.00,0,0,16-DEC-2024
OPTSTK,UNITDSPR,30-Jan-2025,2025-01-30,1400.00,CE,116.00,116.00,116.00,116.00,139.45,1,5.306,350,350,16-DEC-2024
OPTSTK,UNITDSPR,30-Jan-2025,2025-01-30,1400.00,PE,15.00,17.15,7.00,10.15,10.15,13,64.225525,7700,3150,16-DEC-2024
OPTSTK,UNITDSPR,26-Dec-2024,2024-12-26,1440.00,CE,84.85,84.90,42.95,67.80,67.80,35,183.5134,8750,-700,16-DEC-2024
OPTSTK,UNITDSPR,26-Dec-2024,2024-12-26,1440.00,PE,2.60,13.20,1.80,4.55,4.55,2011,10183.8325,95900,5250,16-DEC-2024
OPTSTK,UNITDSPR,30-Jan-2025,2025-01-30,1700.00,PE,0.00,0.00,0.00,194.60,173.50,0,0.00,0,0,16-DEC-2024
OPTSTK,UNITDSPR,26-Dec-2024,2024-12-26,1500.00,CE,32.35,59.00,13.60,36.25,36.25,3577,19114.0755,176400,40950,16-DEC-2024
OPTSTK,UNITDSPR,26-Dec-2024,2024-12-26,1640.00,PE,0.00,0.00,0.00,106.15,118.45,0,0.00,5950,0,16-DEC-2024
OPTSTK,UNITDSPR,26-Dec-2024,2024-12-26,1640.00,CE,1.50,4.45,1.10,3.40,3.40,497,2857.60545,155400,9800,16-DEC-2024
OPTSTK,UNITDSPR,26-Dec-2024,2024-12-26,1600.00,CE,3.25,10.00,1.65,7.00,7.00,4222,23731.9258,377300,-84700,16-DEC-2024
OPTSTK,UNITDSPR,26-Dec-2024,2024-12-26,1320.00,PE,0.25,0.95,0.25,0.95,0.05,3,13.86665,1750,0,16-DEC-2024
OPTSTK,UNITDSPR,26-Dec-2024,2024-12-26,1340.00,PE,0.00,0.00,0.00,3.50,0.05,0,0.00,0,0,16-DEC-2024
OPTSTK,UNITDSPR,30-Jan-2025,2025-01-30,1520.00,PE,53.85,53.85,53.85,53.85,44.65,1,5.508475,350,0,16-DEC-2024
OPTSTK,UNITDSPR,30-Jan-2025,2025-01-30,1440.00,PE,0.00,0.00,0.00,15.00,16.35,0,0.00,1050,0,16-DEC-2024
OPTSTK,UNITDSPR,26-Dec-2024,2024-12-26,1460.00,PE,6.20,21.00,3.45,6.85,6.85,2663,13710.8399,110950,57750,16-DEC-2024
OPTSTK,UNITDSPR,27-Feb-2025,2025-02-27,1640.00,CE,0.00,0.00,0.00,46.10,28.40,0,0.00,0,0,16-DEC-2024
OPTSTK,UNITDSPR,26-Dec-2024,2024-12-26,1380.00,PE,1.75,3.35,0.85,1.15,1.15,178,861.049525,18200,12950,16-DEC-2024
OPTSTK,UNITDSPR,26-Dec-2024,2024-12-26,1380.00,CE,100.40,100.40,100.40,100.40,141.85,1,5.1814,350,350,16-DEC-2024
