INSTRUMENT,SYMBOL,EXPIRY_DT,EXPIRY_DT_FINAL,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP
OPTSTK,PVRINOX,29-Aug-2024,2024-08-29,1640.00,PE,0.00,0.00,0.00,96.10,118.90,0,0.00,814,0,27-AUG-2024
OPTSTK,PVRINOX,31-Oct-2024,2024-10-31,1280.00,CE,0.00,0.00,0.00,259.60,265.40,0,0.00,0,0,27-AUG-2024
OPTSTK,PVRINOX,29-Aug-2024,2024-08-29,1680.00,PE,0.00,0.00,0.00,128.80,158.85,0,0.00,814,0,27-AUG-2024
OPTSTK,PVRINOX,29-Aug-2024,2024-08-29,1340.00,CE,0.00,0.00,0.00,155.00,181.05,0,0.00,6105,0,27-AUG-2024
OPTSTK,PVRINOX,29-Aug-2024,2024-08-29,1120.00,PE,0.00,0.00,0.00,0.60,0.00,0,0.00,814,0,27-AUG-2024
OPTSTK,PVRINOX,29-Aug-2024,2024-08-29,1480.00,PE,4.70,4.70,1.50,1.65,1.65,918,5538.74354,84656,15059,27-AUG-2024
FUTSTK,PVRINOX,31-Oct-2024,2024-10-31,,,1522.15,1536.55,1520.20,1533.25,1533.25,147,915.806573,127798,33374,27-AUG-2024
FUTSTK,PVRINOX,26-Sep-2024,2024-09-26,,,1507.85,1531.20,1502.95,1527.10,1527.10,4703,29178.5074,2756611,530728,27-AUG-2024
OPTSTK,PVRINOX,31-Oct-2024,2024-10-31,1200.00,PE,0.00,0.00,0.00,7.80,2.80,0,0.00,0,0,27-AUG-2024
OPTSTK,PVRINOX,29-Aug-2024,2024-08-29,1420.00,PE,1.20,1.20,0.50,0.55,0.55,123,711.281136,51689,3663,27-AUG-2024
OPTSTK,PVRINOX,29-Aug-2024,2024-08-29,1700.00,CE,0.40,0.80,0.20,0.25,0.25,181,1252.56529,218966,-21571,27-AUG-2024
