INSTRUMENT,SYMBOL,EXPIRY_DT,EXPIRY_DT_FINAL,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP
OPTSTK,ABCAPITAL,24-Apr-2025,2025-04-24,180.00,CE,0.00,0.00,0.00,3.00,1.80,0,0.00,5400,0,28-FEB-2025
OPTSTK,ABCAPITAL,27-Mar-2025,2025-03-27,195.00,PE,0.00,0.00,0.00,36.00,37.75,0,0.00,27000,0,28-FEB-2025
OPTSTK,ABCAPITAL,24-Apr-2025,2025-04-24,150.00,CE,0.00,0.00,0.00,32.60,12.45,0,0.00,0,0,28-FEB-2025
OPTSTK,ABCAPITAL,29-May-2025,2025-05-29,170.00,CE,0.00,0.00,0.00,8.90,6.20,0,0.00,0,0,28-FEB-2025
OPTSTK,ABCAPITAL,27-Mar-2025,2025-03-27,150.00,PE,3.25,3.50,2.40,3.00,3.00,719,2969.8974,1989900,0,28-FEB-2025
OPTSTK,ABCAPITAL,27-Mar-2025,2025-03-27,185.00,PE,0.00,0.00,0.00,25.50,28.00,0,0.00,8100,0,28-FEB-2025
OPTSTK,ABCAPITAL,27-Mar-2025,2025-03-27,192.50,PE,0.00,0.00,0.00,19.40,35.30,0,0.00,0,0,28-FEB-2025
OPTSTK,ABCAPITAL,27-Mar-2025,2025-03-27,137.50,PE,0.00,0.00,0.00,1.30,0.45,0,0.00,5400,0,28-FEB-2025
OPTSTK,ABCAPITAL,27-Mar-2025,2025-03-27,190.00,PE,0.00,0.00,0.00,30.70,32.85,0,0.00,718200,0,28-FEB-2025
OPTSTK,ABCAPITAL,27-Mar-2025,2025-03-27,197.50,PE,0.00,0.00,0.00,23.00,40.25,0,0.00,0,0,28-FEB-2025
OPTSTK,ABCAPITAL,27-Mar-2025,2025-03-27,200.00,PE,41.20,42.00,41.20,42.00,42.70,2,13.0464,2305800,5400,28-FEB-2025
OPTSTK,ABCAPITAL,24-Apr-2025,2025-04-24,135.00,PE,0.00,0.00,0.00,3.15,1.05,0,0.00,81000,0,28-FEB-2025
OPTSTK,ABCAPITAL,24-Apr-2025,2025-04-24,147.50,PE,0.00,0.00,0.00,4.80,3.80,0,0.00,0,0,28-FEB-2025
OPTSTK,ABCAPITAL,29-May-2025,2025-05-29,180.00,PE,0.00,0.00,0.00,25.10,24.45,0,0.00,0,0,28-FEB-2025
OPTSTK,ABCAPITAL,27-Mar-2025,2025-03-27,160.00,PE,7.35,7.75,5.80,7.25,7.25,653,2942.5761,1355400,453600,28-FEB-2025
OPTSTK,ABCAPITAL,27-Mar-2025,2025-03-27,132.50,CE,0.00,0.00,0.00,46.45,24.65,0,0.00,0,0,28-FEB-2025
OPTSTK,ABCAPITAL,27-Mar-2025,2025-03-27,162.50,CE,3.40,4.20,3.00,3.30,3.30,255,1143.22725,162000,72900,28-FEB-2025
OPTSTK,ABCAPITAL,24-Apr-2025,2025-04-24,142.50,CE,0.00,0.00,0.00,20.05,17.65,0,0.00,0,0,28-FEB-2025
OPTSTK,ABCAPITAL,24-Apr-2025,2025-04-24,185.00,CE,0.00,0.00,0.00,11.65,1.20,0,0.00,0,0,28-FEB-2025
OPTSTK,ABCAPITAL,29-May-2025,2025-05-29,190.00,CE,0.00,0.00,0.00,3.90,2.10,0,0.00,0,0,28-FEB-2025
OPTSTK,ABCAPITAL,27-Mar-2025,2025-03-27,195.00,CE,0.10,0.10,0.10,0.10,0.05,1,5.2677,27000,0,28-FEB-2025
OPTSTK,ABCAPITAL,27-Mar-2025,2025-03-27,205.00,CE,0.00,0.00,0.00,0.10,0.05,0,0.00,29700,0,28-FEB-2025
OPTSTK,ABCAPITAL,29-May-2025,2025-05-29,150.00,PE,0.00,0.00,0.00,7.80,6.35,0,0.00,0,0,28-FEB-2025
