INSTRUMENT,SYMBOL,EXPIRY_DT,EXPIRY_DT_FINAL,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP
OPTSTK,ABCAPITAL,31-Jul-2025,2025-07-31,200.00,CE,0.00,0.00,0.00,20.35,15.85,0,0.00,0,0,30-APR-2025
OPTSTK,ABCAPITAL,26-Jun-2025,2025-06-26,225.00,CE,0.00,0.00,0.00,4.30,4.20,0,0.00,0,0,30-APR-2025
OPTSTK,ABCAPITAL,31-Jul-2025,2025-07-31,210.00,CE,0.00,0.00,0.00,15.65,11.85,0,0.00,0,0,30-APR-2025
OPTSTK,ABCAPITAL,26-Jun-2025,2025-06-26,195.00,CE,0.00,0.00,0.00,12.20,14.25,0,0.00,0,0,30-APR-2025
OPTSTK,ABCAPITAL,26-Jun-2025,2025-06-26,202.50,CE,0.00,0.00,0.00,15.10,10.80,0,0.00,0,0,30-APR-2025
OPTSTK,ABCAPITAL,29-May-2025,2025-05-29,150.00,PE,0.00,0.00,0.00,0.45,0.05,0,0.00,13500,0,30-APR-2025
OPTSTK,ABCAPITAL,29-May-2025,2025-05-29,192.50,PE,5.95,6.60,5.75,6.45,6.45,37,198.4419,48600,18900,30-APR-2025
OPTSTK,ABCAPITAL,29-May-2025,2025-05-29,202.50,PE,9.85,11.50,9.55,11.50,11.50,32,184.11975,97200,-13500,30-APR-2025
OPTSTK,ABCAPITAL,29-May-2025,2025-05-29,205.00,PE,13.10,13.30,11.00,12.85,12.85,30,176.20875,448200,-27000,30-APR-2025
OPTSTK,ABCAPITAL,29-May-2025,2025-05-29,235.00,PE,0.00,0.00,0.00,39.50,38.15,0,0.00,10800,0,30-APR-2025
OPTSTK,ABCAPITAL,31-Jul-2025,2025-07-31,180.00,PE,0.00,0.00,0.00,6.10,7.40,0,0.00,0,0,30-APR-2025
OPTSTK,ABCAPITAL,29-May-2025,2025-05-29,222.50,CE,1.60,1.85,1.55,1.70,1.85,34,205.73055,121500,45900,30-APR-2025
OPTSTK,ABCAPITAL,29-May-2025,2025-05-29,212.50,CE,3.05,4.00,3.00,3.25,3.25,15,87.44355,67500,5400,30-APR-2025
OPTSTK,ABCAPITAL,29-May-2025,2025-05-29,197.50,CE,9.70,10.20,8.45,8.50,8.50,38,212.0175,145800,-5400,30-APR-2025
FUTSTK,ABCAPITAL,29-May-2025,2025-05-29,,,199.90,200.71,196.45,197.27,197.27,1645,8796.45258,58317300,410400,30-APR-2025
OPTSTK,ABCAPITAL,31-Jul-2025,2025-07-31,215.00,PE,0.00,0.00,0.00,21.70,25.15,0,0.00,0,0,30-APR-2025
OPTSTK,ABCAPITAL,26-Jun-2025,2025-06-26,217.50,PE,0.00,0.00,0.00,20.80,24.70,0,0.00,0,0,30-APR-2025
OPTSTK,ABCAPITAL,26-Jun-2025,2025-06-26,202.50,PE,0.00,0.00,0.00,12.15,14.85,0,0.00,0,0,30-APR-2025
OPTSTK,ABCAPITAL,26-Jun-2025,2025-06-26,192.50,PE,0.00,0.00,0.00,7.80,9.70,0,0.00,0,0,30-APR-2025
OPTSTK,ABCAPITAL,26-Jun-2025,2025-06-26,182.50,PE,0.00,0.00,0.00,4.60,5.80,0,0.00,0,0,30-APR-2025
OPTSTK,ABCAPITAL,26-Jun-2025,2025-06-26,180.00,PE,4.00,4.65,4.00,4.65,5.05,5,24.85755,13500,13500,30-APR-2025
OPTSTK,ABCAPITAL,29-May-2025,2025-05-29,222.50,PE,23.80,23.80,23.65,23.65,26.85,3,19.94625,24300,-2700,30-APR-2025
OPTSTK,ABCAPITAL,29-May-2025,2025-05-29,170.00,PE,1.30,1.40,1.15,1.35,1.35,28,129.4812,434700,18900,30-APR-2025
OPTSTK,ABCAPITAL,29-May-2025,2025-05-29,195.00,PE,7.40,7.90,6.20,7.55,7.55,106,578.46825,407700,21600,30-APR-2025
OPTSTK,ABCAPITAL,26-Jun-2025,2025-06-26,195.00,PE,9.70,9.75,9.60,9.75,10.85,3,16.57935,8100,8100,30-APR-2025
OPTSTK,ABCAPITAL,26-Jun-2025,2025-06-26,210.00,PE,0.00,0.00,0.00,28.40,19.50,0,0.00,0,0,30-APR-2025
OPTSTK,ABCAPITAL,26-Jun-2025,2025-06-26,212.50,PE,0.00,0.00,0.00,17.65,21.15,0,0.00,0,0,30-APR-2025
OPTSTK,ABCAPITAL,26-Jun-2025,2025-06-26,220.00,PE,0.00,0.00,0.00,36.00,26.60,0,0.00,0,0,30-APR-2025
OPTSTK,ABCAPITAL,31-Jul-2025,2025-07-31,220.00,PE,0.00,0.00,0.00,24.80,28.60,0,0.00,0,0,30-APR-2025
OPTSTK,ABCAPITAL,26-Jun-2025,2025-06-26,215.00,CE,0.00,0.00,0.00,6.20,6.50,0,0.00,0,0,30-APR-2025
OPTSTK,ABCAPITAL,26-Jun-2025,2025-06-26,197.50,CE,0.00,0.00,0.00,17.75,13.05,0,0.00,0,0,30-APR-2025
OPTSTK,ABCAPITAL,29-May-2025,2025-05-29,190.00,CE,13.00,15.15,12.45,12.90,12.90,27,148.3839,172800,5400,30-APR-2025
OPTSTK,ABCAPITAL,29-May-2025,2025-05-29,187.50,CE,15.30,15.30,14.45,14.50,14.55,3,16.38225,24300,0,30-APR-2025
OPTSTK,ABCAPITAL,29-May-2025,2025-05-29,185.00,CE,17.55,17.55,15.85,16.00,16.00,6,32.6916,40500,5400,30-APR-2025
OPTSTK,ABCAPITAL,29-May-2025,2025-05-29,155.00,CE,0.00,0.00,0.00,12.00,42.30,0,0.00,2700,0,30-APR-2025
OPTSTK,ABCAPITAL,26-Jun-2025,2025-06-26,217.50,CE,8.05,8.05,4.30,4.70,4.70,3,18.07785,0,0,30-APR-2025
OPTSTK,ABCAPITAL,29-May-2025,2025-05-29,155.00,PE,0.00,0.00,0.00,0.65,0.15,0,0.00,27000,0,30-APR-2025
OPTSTK,ABCAPITAL,29-May-2025,2025-05-29,165.00,PE,0.85,1.00,0.85,1.00,1.00,10,44.79705,43200,5400,30-APR-2025
OPTSTK,ABCAPITAL,26-Jun-2025,2025-06-26,175.00,CE,0.00,0.00,0.00,22.00,26.90,0,0.00,0,0,30-APR-2025
OPTSTK,ABCAPITAL,26-Jun-2025,2025-06-26,187.50,CE,0.00,0.00,0.00,23.85,18.40,0,0.00,0,0,30-APR-2025
OPTSTK,ABCAPITAL,29-May-2025,2025-05-29,182.50,CE,19.45,19.45,17.60,17.90,17.90,9,48.8484,35100,8100,30-APR-2025
OPTSTK,ABCAPITAL,31-Jul-2025,2025-07-31,195.00,PE,0.00,0.00,0.00,11.40,13.60,0,0.00,0,0,30-APR-2025
OPTSTK,ABCAPITAL,26-Jun-2025,2025-06-26,200.00,PE,0.00,0.00,0.00,10.95,13.45,0,0.00,10800,0,30-APR-2025
OPTSTK,ABCAPITAL,26-Jun-2025,2025-06-26,197.50,PE,0.00,0.00,0.00,9.85,12.10,0,0.00,0,0,30-APR-2025
OPTSTK,ABCAPITAL,26-Jun-2025,2025-06-26,185.00,PE,0.00,0.00,0.00,13.00,6.65,0,0.00,0,0,30-APR-2025
OPTSTK,ABCAPITAL,29-May-2025,2025-05-29,225.00,PE,28.25,28.35,28.25,28.35,29.00,3,20.51595,29700,2700,30-APR-2025
OPTSTK,ABCAPITAL,29-May-2025,2025-05-29,212.50,PE,17.00,18.05,17.00,18.05,18.75,9,55.88325,27000,-2700,30-APR-2025
OPTSTK,ABCAPITAL,29-May-2025,2025-05-29,197.50,PE,9.20,9.20,7.25,8.55,8.55,79,438.85395,299700,18900,30-APR-2025
OPTSTK,ABCAPITAL,31-Jul-2025,2025-07-31,190.00,CE,0.00,0.00,0.00,25.90,20.85,0,0.00,0,0,30-APR-2025
OPTSTK,ABCAPITAL,26-Jun-2025,2025-06-26,220.00,CE,0.00,0.00,0.00,5.15,5.25,0,0.00,0,0,30-APR-2025
OPTSTK,ABCAPITAL,26-Jun-2025,2025-06-26,170.00,CE,0.00,0.00,0.00,25.10,30.75,0,0.00,0,0,30-APR-2025
FUTSTK,ABCAPITAL,31-Jul-2025,2025-07-31,,,201.39,201.39,200.35,200.35,199.72,4,24.92462,68200,9300,30-APR-2025
OPTSTK,ABCAPITAL,31-Jul-2025,2025-07-31,220.00,CE,0.00,0.00,0.00,11.85,8.65,0,0.00,0,0,30-APR-2025
OPTSTK,ABCAPITAL,29-May-2025,2025-05-29,175.00,PE,1.75,2.05,1.60,2.05,2.05,22,105.0084,159300,2700,30-APR-2025
OPTSTK,ABCAPITAL,29-May-2025,2025-05-29,177.50,PE,2.30,2.30,2.25,2.25,2.05,3,14.56245,35100,0,30-APR-2025
OPTSTK,ABCAPITAL,29-May-2025,2025-05-29,230.00,PE,33.00,33.00,33.00,33.00,33.50,1,7.101,10800,0,30-APR-2025
OPTSTK,ABCAPITAL,26-Jun-2025,2025-06-26,177.50,PE,0.00,0.00,0.00,3.40,4.35,0,0.00,0,0,30-APR-2025
OPTSTK,ABCAPITAL,26-Jun-2025,2025-06-26,207.50,PE,0.00,0.00,0.00,14.75,17.85,0,0.00,0,0,30-APR-2025
OPTSTK,ABCAPITAL,29-May-2025,2025-05-29,230.00,CE,1.00,1.10,0.80,0.80,1.05,40,249.39765,329400,-29700,30-APR-2025
OPTSTK,ABCAPITAL,26-Jun-2025,2025-06-26,180.00,CE,0.00,0.00,0.00,19.15,23.30,0,0.00,0,0,30-APR-2025
OPTSTK,ABCAPITAL,31-Jul-2025,2025-07-31,180.00,CE,0.00,0.00,0.00,32.45,26.80,0,0.00,0,0,30-APR-2025
OPTSTK,ABCAPITAL,31-Jul-2025,2025-07-31,205.00,CE,0.00,0.00,0.00,17.90,13.75,0,0.00,0,0,30-APR-2025
OPTSTK,ABCAPITAL,26-Jun-2025,2025-06-26,225.00,PE,0.00,0.00,0.00,40.00,30.50,0,0.00,0,0,30-APR-2025
OPTSTK,ABCAPITAL,29-May-2025,2025-05-29,220.00,CE,1.70,2.35,1.70,1.80,1.80,213,1276.4439,1622700,29700,30-APR-2025
OPTSTK,ABCAPITAL,29-May-2025,2025-05-29,175.00,CE,0.00,0.00,0.00,27.50,23.90,0,0.00,24300,0,30-APR-2025
OPTSTK,ABCAPITAL,29-May-2025,2025-05-29,210.00,PE,16.35,16.35,13.90,16.20,16.20,30,182.6226,801900,-10800,30-APR-2025
OPTSTK,ABCAPITAL,26-Jun-2025,2025-06-26,185.00,CE,0.00,0.00,0.00,16.55,19.95,0,0.00,0,0,30-APR-2025
OPTSTK,ABCAPITAL,26-Jun-2025,2025-06-26,190.00,PE,6.80,7.85,6.80,7.80,7.80,16,85.1526,18900,18900,30-APR-2025
OPTSTK,ABCAPITAL,29-May-2025,2025-05-29,177.50,CE,23.15,23.15,21.50,21.50,21.50,4,21.57435,16200,2700,30-APR-2025
OPTSTK,ABCAPITAL,26-Jun-2025,2025-06-26,187.50,PE,0.00,0.00,0.00,6.05,7.60,0,0.00,0,0,30-APR-2025
OPTSTK,ABCAPITAL,29-May-2025,2025-05-29,200.00,CE,8.80,9.10,6.85,7.35,7.35,659,3694.68675,1150200,-421200,30-APR-2025
OPTSTK,ABCAPITAL,26-Jun-2025,2025-06-26,160.00,PE,1.25,1.25,1.25,1.25,1.20,1,4.35375,5400,2700,30-APR-2025
OPTSTK,ABCAPITAL,29-May-2025,2025-05-29,187.50,PE,4.35,4.75,4.15,4.70,4.70,12,62.1891,86400,5400,30-APR-2025
OPTSTK,ABCAPITAL,29-May-2025,2025-05-29,220.00,PE,24.10,24.10,22.90,23.85,23.85,5,32.89815,664200,5400,30-APR-2025
OPTSTK,ABCAPITAL,29-May-2025,2025-05-29,205.00,CE,6.00,6.55,5.05,5.35,5.35,154,875.9718,880200,-21600,30-APR-2025
OPTSTK,ABCAPITAL,31-Jul-2025,2025-07-31,210.00,PE,0.00,0.00,0.00,18.80,21.95,0,0.00,0,0,30-APR-2025
OPTSTK,ABCAPITAL,29-May-2025,2025-05-29,215.00,CE,2.60,3.40,2.40,2.65,2.65,58,341.06265,469800,-8100,30-APR-2025
OPTSTK,ABCAPITAL,31-Jul-2025,2025-07-31,200.00,PE,0.00,0.00,0.00,15.00,16.15,0,0.00,18600,0,30-APR-2025
OPTSTK,ABCAPITAL,31-Jul-2025,2025-07-31,190.00,PE,0.00,0.00,0.00,9.40,11.30,0,0.00,0,0,30-APR-2025
OPTSTK,ABCAPITAL,29-May-2025,2025-05-29,147.50,PE,0.30,0.30,0.30,0.30,0.30,4,15.9624,16200,5400,30-APR-2025
OPTSTK,ABCAPITAL,29-May-2025,2025-05-29,180.00,PE,2.65,2.90,2.25,2.80,2.80,46,226.746,707400,10800,30-APR-2025
OPTSTK,ABCAPITAL,26-Jun-2025,2025-06-26,170.00,PE,0.00,0.00,0.00,6.85,2.65,0,0.00,0,0,30-APR-2025
OPTSTK,ABCAPITAL,29-May-2025,2025-05-29,217.50,PE,21.05,21.80,20.50,21.80,22.65,13,83.67705,32400,2700,30-APR-2025
OPTSTK,ABCAPITAL,29-May-2025,2025-05-29,170.00,CE,0.00,0.00,0.00,35.10,28.20,0,0.00,21600,0,30-APR-2025
FUTSTK,ABCAPITAL,26-Jun-2025,2025-06-26,,,199.70,200.57,197.58,198.32,198.32,48,257.93937,1117800,29700,30-APR-2025
OPTSTK,ABCAPITAL,26-Jun-2025,2025-06-26,215.00,PE,0.00,0.00,0.00,32.10,22.90,0,0.00,0,0,30-APR-2025
OPTSTK,ABCAPITAL,26-Jun-2025,2025-06-26,150.00,PE,1.10,1.10,1.10,1.10,1.10,1,4.0797,10800,2700,30-APR-2025
OPTSTK,ABCAPITAL,29-May-2025,2025-05-29,182.50,PE,3.40,3.55,2.65,3.35,3.35,16,80.1819,48600,0,30-APR-2025
OPTSTK,ABCAPITAL,31-Jul-2025,2025-07-31,185.00,CE,0.00,0.00,0.00,29.05,23.70,0,0.00,0,0,30-APR-2025
OPTSTK,ABCAPITAL,26-Jun-2025,2025-06-26,210.00,CE,0.00,0.00,0.00,7.40,8.05,0,0.00,0,0,30-APR-2025
OPTSTK,ABCAPITAL,26-Jun-2025,2025-06-26,205.00,CE,0.00,0.00,0.00,8.75,9.80,0,0.00,0,0,30-APR-2025
OPTSTK,ABCAPITAL,26-Jun-2025,2025-06-26,190.00,CE,0.00,0.00,0.00,14.25,16.95,0,0.00,0,0,30-APR-2025
OPTSTK,ABCAPITAL,29-May-2025,2025-05-29,217.50,CE,2.30,2.40,2.15,2.15,2.15,9,53.38575,97200,8100,30-APR-2025
OPTSTK,ABCAPITAL,29-May-2025,2025-05-29,207.50,CE,5.00,5.55,4.40,4.55,4.55,37,212.1768,207900,8100,30-APR-2025
OPTSTK,ABCAPITAL,29-May-2025,2025-05-29,160.00,PE,0.65,0.70,0.50,0.70,0.70,20,86.7402,156600,2700,30-APR-2025
OPTSTK,ABCAPITAL,29-May-2025,2025-05-29,200.00,PE,9.35,10.35,8.40,9.90,9.90,200,1131.3648,1347300,35100,30-APR-2025
OPTSTK,ABCAPITAL,29-May-2025,2025-05-29,207.50,PE,13.75,14.85,13.75,14.70,14.70,8,47.93175,75600,-8100,30-APR-2025
OPTSTK,ABCAPITAL,26-Jun-2025,2025-06-26,175.00,PE,0.00,0.00,0.00,8.65,3.70,0,0.00,0,0,30-APR-2025
OPTSTK,ABCAPITAL,26-Jun-2025,2025-06-26,205.00,PE,0.00,0.00,0.00,24.85,16.30,0,0.00,0,0,30-APR-2025
OPTSTK,ABCAPITAL,29-May-2025,2025-05-29,202.50,CE,6.90,7.30,6.20,6.45,6.45,51,288.01845,145800,-8100,30-APR-2025
OPTSTK,ABCAPITAL,29-May-2025,2025-05-29,192.50,CE,12.05,12.20,11.25,11.25,11.50,3,16.551,24300,2700,30-APR-2025
OPTSTK,ABCAPITAL,29-May-2025,2025-05-29,210.00,CE,3.95,4.75,3.50,3.80,3.80,262,1513.24065,1312200,5400,30-APR-2025
OPTSTK,ABCAPITAL,29-May-2025,2025-05-29,225.00,CE,1.20,1.55,1.10,1.25,1.25,70,427.8231,685800,21600,30-APR-2025
OPTSTK,ABCAPITAL,31-Jul-2025,2025-07-31,195.00,CE,0.00,0.00,0.00,23.00,18.25,0,0.00,0,0,30-APR-2025
OPTSTK,ABCAPITAL,29-May-2025,2025-05-29,235.00,CE,0.60,0.75,0.55,0.60,0.60,42,267.2217,172800,16200,30-APR-2025
OPTSTK,ABCAPITAL,29-May-2025,2025-05-29,215.00,PE,17.75,20.00,17.75,20.00,20.65,14,88.49115,70200,5400,30-APR-2025
